company_id,year,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,asset_turnover,sales,net_profit,eps,dividend_payout,net_cash_flow,market_cap_crore,pe_ratio,pb_ratio,dividend_yield_pct,broad_sector,peer_group_name,composite_quality_score
DRREDDY,2023.0,19.35497723954307,0.0,18.269152817186868,26.22618565058776,0.05784591600103066,52.03496503496503,0.7659349871154025,24670.0,4507.0,54.0,15.0,-907.0,2212619.5,11.34,10.95,3.71,Healthcare,Pharmaceuticals,0
GAIL,2020.0,19.31273849151579,0.0,13.120880333158663,12.44104911883946,0.14029390273605585,41.48220064724919,0.9677582939653562,72518.0,9515.0,14.0,31.0,328.0,712986.95,25.86,4.98,2.22,Energy,Oil & Gas,0
CHOLAFIN,2019.0,19.281572164948454,0.0,16.840180078784467,22.960045019696118,8.145457474226804,1659.0,0.12363889372064707,7108.0,1197.0,15.0,8.0,2862.0,1617575.24,18.46,1.7,2.14,Financials,Consumer Finance,0
IOC,2022.0,19.266110008611975,0.0,4.365532536597202,8.103902626921492,0.9886546598270116,9.550788412174551,1.434282835461276,589321.0,25727.0,18.0,46.0,395.0,1605938.54,79.84,7.17,3.59,Energy,Oil & Gas,0
TITAN,2016.0,19.24721984602224,0.0,5.9861653068464,8.32742107130188,0.03222127174222983,24.0,1.7779880163986124,11276.0,675.0,8.0,29.0,-88.0,,,,,Consumer Discretionary,,0
GRASIM,2013.0,19.219616421630974,0.0,13.536851911569745,21.226127772403167,0.48583201912804597,20.82716049382716,0.6325272533599257,27909.0,3778.0,57.0,8.0,-97.0,,,,,Industrials,,0
RECLTD,2023.0,19.213695801789402,0.0,28.28090968951021,95.29453477181787,6.551789401238816,1.5866514979142965,0.08482437277525601,39486.0,11167.0,42.0,30.0,-180.0,324371.96,74.2,3.44,2.37,Financials,,0
GAIL,2022.0,19.19081635836167,0.0,13.262908267758974,16.342567640400993,0.14374395607823565,89.53465346534654,0.9605110577321295,92770.0,12304.0,18.0,36.0,13.0,1209368.79,66.94,6.52,3.73,Energy,Oil & Gas,0
PFC,2020.0,19.18421052631579,0.0,15.23902941034588,22.53131582755793,12.076133603238866,0.3456236993512058,0.08954228885807629,62189.0,9477.0,22.0,35.0,1179.0,1544887.02,36.3,4.82,0.46,Financials,,0
BAJAJFINSV,2020.0,19.148936170212767,0.0,11.028315946348734,33.59275818292212,4.0640214682767875,1.9218947368421053,0.21627590488014517,54351.0,5994.0,21.0,2.0,1162.0,1182995.84,33.33,3.61,0.66,Financials,,0
RECLTD,2021.0,19.143588337446303,0.0,23.562167786933657,90.74162612143881,7.534114797550498,1.5021638978081808,0.08870024222497735,35557.0,8378.0,32.0,30.0,-538.0,306600.13,16.55,4.55,0.35,Financials,,0
MOTHERSON,2019.0,19.13709750980571,0.0,3.3027407395746424,8.418997843300852,1.0520842834990423,13.430260047281324,1.4857791083875194,63523.0,2098.0,3.0,29.0,769.0,62318.66,45.66,12.32,4.25,Consumer Discretionary,,0
BAJFINANCE,2017.0,19.125,0.0,18.415245737211634,32.59779338014042,5.130208333333333,149.04545454545453,0.15643878175456213,9970.0,1836.0,33.0,11.0,-972.0,,,,,Financials,Consumer Finance,0
HDFCLIFE,2020.0,19.05391508741002,0.0,4.414567733151804,96.11640571817563,0.0,76.53929539295393,0.2221986931268151,29380.0,1297.0,6.0,0.0,-364.0,43616.06,67.68,5.98,4.1,Financials,Life Insurance,0
