company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,return_on_assets_pct,return_on_capital_employed_pct,quality_score,quality_rank
DIVISLAB,2016.0,29.81991525423729,37.6853813559322,26.22874446773818,0.009783368273934312,303.2,0.7709269089424254,22.988975091874234,0.0,79.0376348138497,13.0
EICHERMOT,2017.0,23.702545144319636,30.911417602729983,31.18802619270346,0.02095416276894294,647.5,1.003424168925667,23.783706662862034,0.0,78.67427799988513,7.0
TCS,2017.0,22.342878456504415,27.390095451231712,30.571600900085834,0.003352123785000116,1141.625,1.152765969921726,25.75610995475555,0.0,78.6705893113458,8.0
IRCTC,2024.0,26.01873536299766,34.33255269320843,34.39628482972136,0.018575851393188854,82.73684210526316,0.7010343129207027,18.240026268264653,0.0,78.65504646098367,14.0
ITC,2023.0,27.463726222873987,36.24416587938352,28.16426867182416,0.004424842744559323,356.43589743589746,0.8262632382239518,22.692267362607915,0.0,78.32026225730607,11.0
NESTLEIND,2018.0,14.231314204746722,23.18455543747786,43.75170160631636,0.00952899537163082,25.6875,1.3961424332344214,19.868941641938676,0.0,77.85195745300176,9.0
IRCTC,2020.0,22.659010600706715,31.051236749116605,39.04109589041096,0.0,78.0,0.6985498302992903,15.828448009873497,0.0,77.52855450099116,10.0
ADANIPORTS,2017.0,46.23770588932338,64.20191965872733,22.264064817984707,1.2674883030925481,5.784050179211469,0.19458599460444095,8.997209988701607,0.0,77.4989806960097,9.0
DIVISLAB,2014.0,30.529225908372826,40.20537124802528,26.07962213225371,0.006072874493927126,362.0,0.6824797843665769,20.835579514824797,0.0,77.44442755545133,10.0
ITC,2015.0,25.192570265605273,36.715871911791226,30.813587093521555,0.008476178472397277,170.12087912087912,0.844729282729805,21.28090181058496,0.0,77.28705916971178,10.0
NESTLEIND,2013.0,12.27337655202725,21.404241292165697,47.170608108108105,0.5021114864864865,55.270270270270274,1.441400063351283,17.690845739626226,0.0,77.13483039976158,13.0
COALINDIA,2013.0,25.41030408620412,73.51946473800565,35.80623865324311,0.026922759531275788,5.740630712979891,0.6154365983979528,15.638431111071066,0.0,76.85497385051829,14.0
ABB,2024.0,20.533424517011454,24.84185330825782,32.46823465801568,0.022438496891051634,141.75,1.1263238975544,23.127286732139417,0.0,76.12894590716655,15.0
ADANIPOWER,2023.0,27.666159440848016,26.038738297268715,35.90507430713616,1.4175257731958764,4.2927414517096585,0.4517891891262045,12.499271740017011,0.0,76.07050548800119,12.0
TCS,2018.0,21.02287496750715,26.41343904341045,30.401278075368854,0.002901513015694014,695.3461538461538,1.1710138310218214,24.618077354793297,0.0,76.0422303976693,10.0
ITC,2020.0,31.57244674819794,39.16740908722767,23.88889740015014,0.004243714859130115,268.65432098765433,0.6388224185432863,20.169186791012923,0.0,75.630530939361,11.0
HCLTECH,2014.0,20.3086112493778,24.99688899950224,33.39130434782609,0.05207161125319693,76.42105263157895,1.0721814543028685,21.774516344229486,0.0,75.47443194143338,11.0
ZYDUSLIFE,2022.0,30.562541363335537,22.11780277961615,27.166303900229426,0.24830872404259074,46.63779527559055,0.5466319369076044,16.70646118225888,0.0,74.43530644582384,11.0
ZYDUSLIFE,2016.0,20.83377532619073,24.73745624270712,34.462186348482184,0.4284962274083173,46.113207547169814,0.9108212560386474,18.97584541062802,0.0,74.27180708530094,14.0
NESTLEIND,2014.0,12.02435312024353,20.690005073566716,41.76947479732112,0.007049700387733521,151.85714285714286,1.693298969072165,20.36082474226804,0.0,74.15465265983269,12.0
BRITANNIA,2014.0,5.713872414291914,9.069868363951974,49.49874686716792,0.18796992481203006,82.625,3.280968201233982,18.74703369719981,0.0,73.95965297865963,13.0
BRITANNIA,2016.0,9.824937477670597,14.576634512325832,39.4359464627151,0.06261950286806883,267.8,2.403262736119061,23.611906124785346,0.0,72.87279006517105,15.0
BAJAJ-AUTO,2014.0,16.785022595222724,20.673387297015445,33.24481164551982,0.0058030884233303826,4837.0,1.3154559707342566,22.07995819179514,0.0,72.10979243253769,14.0
COALINDIA,2016.0,18.323679377351947,75.96486045645446,40.95828668216921,0.034421382022794475,9.963125105236571,0.6856375484325467,12.563402606551602,0.0,71.84536866607276,16.0
GODREJCP,2019.0,22.70700019391119,20.67093271281753,32.22787945507087,0.4653914958029448,10.478991596638656,0.7318007662835249,16.617000141904356,0.0,71.55187979088642,12.0
COALINDIA,2014.0,21.402673917969636,74.83854520734195,35.63814734459013,0.0041977171964908975,7.374389733575115,0.6728544473879815,14.400884331700622,0.0,71.44170559426038,15.0
SUNPHARMA,2013.0,31.165214266463032,42.979067469230074,23.142094729819878,0.01734489659773182,109.16279069767442,0.5462531285272612,17.024095794277862,0.0,71.33140479056078,15.0
DIVISLAB,2013.0,28.065268065268068,38.04195804195804,24.070371851259495,0.013194722111155539,287.0,0.6833386428798981,19.17808219178082,0.0,71.31372210830838,16.0
HCLTECH,2015.0,20.004904498515028,23.121985776954308,30.30878467635403,0.026750330250990752,105.62637362637362,1.0413108242303872,20.831323591998867,0.0,71.14501276686792,11.0
DIVISLAB,2015.0,27.351524879614768,37.65650080256822,24.37070938215103,0.007723112128146453,403.6666666666667,0.7071509648127128,19.3416572077185,0.0,71.0638914694843,12.0
BAJAJ-AUTO,2016.0,17.989722689820148,21.23239124656685,28.96576319543509,0.008416547788873038,5987.0,1.3093967517401393,23.55568445475638,0.0,70.51117034001163,17.0
ATGL,2020.0,23.253333333333334,31.733333333333334,29.63970088375255,0.2909585316111489,15.585365853658537,0.7572697899838449,17.60904684975767,0.0,70.50208106684356,12.0
